State,Transaction_count
Andaman & Nicobar,19525657
Andhra Pradesh,10845329032
Arunachal Pradesh,73097972
Assam,1141801571
Bihar,5635859758
Chandigarh,138522351
Chhattisgarh,2011123936
Dadra and Nagar Haveli and Daman and Diu,102800321
Delhi,5311654584
Goa,210036005
Gujarat,3845077294
Haryana,3765719189
Himachal Pradesh,305170245
Jammu & Kashmir,391490861
Jharkhand,2230495424
Karnataka,18416303757
Kerala,1476753468
Ladakh,18406246
Madhya Pradesh,8127407096
Maharashtra,19164307615
Manipur,52990933
Meghalaya,42737992
Mizoram,10869006
Nagaland,30007932
Odisha,4943283348
Puducherry,106025064
Punjab,1070865241
Rajasthan,9711334203
Sikkim,36221723
Tamil Nadu,4852014565
Telangana,16145445490
Tripura,66662570
Uttarakhand,9771922023
Uttar Pradesh,846622791
West Bengal,5062558266